"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group","feature"
3.16196014003884e-15,0.406502982963277,0.458,0.238,4.84949826677757e-11,"iTreg","INPP5F"
4.65055493746239e-15,-0.272367519613637,0.061,0.264,7.13255610758606e-11,"iTreg","AIM2"
7.02871890773037e-15,0.393882899318007,0.925,0.863,1.07799461887861e-10,"iTreg","NDFIP1"
7.78833631863761e-15,-0.35294131397257,1,0.997,1.19449714118945e-10,"iTreg","MT-CO1"
1.02650644861134e-14,0.377460316580692,0.672,0.466,1.57435294023521e-10,"iTreg","TSC22D3"
1.24266060433447e-14,0.388152406387485,0.968,0.934,1.90586856886777e-10,"iTreg","CACYBP"
1.92789448784002e-14,0.369574570353158,0.771,0.608,2.95681177600025e-10,"iTreg","WDR45B"
2.03071271686846e-14,-0.250788375915334,0.09,0.304,3.11450409386115e-10,"iTreg","RPS6KA5"
2.37393303456632e-14,0.436654141013827,0.359,0.157,3.64090109511436e-10,"iTreg","ATP1B1"
2.70148749265802e-14,0.297519234069617,0.678,0.493,4.14327136748961e-10,"iTreg","RSBN1"
2.8822207681284e-14,-0.446369786201956,0.322,0.553,4.42046199207852e-10,"iTreg","HNRNPAB"
3.2116661505875e-14,-0.572598681949134,0.209,0.423,4.92573237515605e-10,"iTreg","RNF125"
5.19340288575107e-14,0.3872830767491,0.684,0.487,7.96512200587641e-10,"iTreg","PIK3IP1"
6.89318964278466e-14,0.301048296879794,0.994,0.974,1.05720849551388e-09,"iTreg","VDAC1"
7.86625342957974e-14,0.270890127113267,0.249,0.085,1.20644728849464e-09,"iTreg","LMCD1"
9.61305794695039e-14,-0.419951810102276,0.89,0.945,1.47435469732378e-09,"iTreg","ARPC1B"
1.16692115812884e-13,0.319623449345422,0.986,0.968,1.7897069802222e-09,"iTreg","FXYD5"
1.43398678753163e-13,0.486843492487219,0.835,0.682,2.19930553603727e-09,"iTreg","SELL"
